   10	28.512582	 7.053801	31.011492	 6.321633	23.094395	62.131329	Net_000
   20	79.681204	 0.816642	 5.109138	 7.718481	22.005712	59.587101	Net_000
   30	87.874989	 0.406699	 3.346538	 7.933381	22.103003	59.687926	Net_000
   40	90.982359	 0.301637	 2.161677	 8.148281	21.322351	56.362280	Net_000
   50	94.313603	 0.192801	 1.382007	 8.936246	20.702073	55.749381	Net_000
   60	95.227008	 0.172671	 1.363132	 9.473496	20.460072	55.446749	Net_000
   70	92.800215	 0.248661	 1.783724	 8.936246	21.008601	55.920476	Net_000
   80	92.504701	 0.230160	 1.571633	 9.097421	20.494090	55.169995	Net_000
   90	89.889854	 0.397226	 2.505590	 9.527221	20.821926	55.126227	Net_000
  100	97.197099	 0.095569	 0.828331	10.637536	19.416528	53.005053	Net_000
  110	97.340378	 0.085302	 0.767508	10.798711	19.731120	52.533715	Net_000
  120	94.250918	 0.187676	 1.461463	 9.509312	19.641045	53.340512	Net_000
  130	97.277693	 0.085694	 0.794829	11.031519	19.748769	52.533010	Net_000
  140	97.304558	 0.082811	 0.748356	11.013610	19.495082	52.113116	Net_000
  150	98.540342	 0.049799	 0.577660	11.694126	19.117890	51.444088	Net_000
   10	20.524760	10.297858	40.448513	 5.479943	18.776666	58.315868	Net_001
   20	79.358825	 0.863650	 5.324191	 8.094556	15.609479	52.224199	Net_001
   30	91.403242	 0.305153	 2.374182	 8.703438	15.334999	51.138620	Net_001
   40	94.089729	 0.189741	 1.544366	 9.133238	14.959798	50.938558	Net_001
   50	88.779439	 0.382062	 2.825447	 9.043696	15.064311	50.723082	Net_001
   60	96.086684	 0.130495	 1.232238	10.118195	14.379862	48.894226	Net_001
   70	97.394108	 0.092225	 0.958204	10.297278	14.128644	48.601189	Net_001
   80	95.844900	 0.137756	 1.246448	10.404728	14.343533	48.779746	Net_001
   90	96.973225	 0.102706	 1.202388	10.906160	14.095423	48.008437	Net_001
  100	86.648160	 0.486186	 3.280403	 9.670487	14.994479	50.033130	Net_001
  110	96.319513	 0.122737	 1.168178	11.246418	13.856083	47.541800	Net_001
  120	95.415062	 0.142089	 1.284442	10.744986	13.834470	47.470669	Net_001
  130	96.176234	 0.116340	 1.119265	10.995702	13.970252	47.748808	Net_001
  140	98.083639	 0.069655	 0.843233	11.497135	13.624845	47.146265	Net_001
  150	98.334378	 0.052439	 0.714746	11.944842	13.488208	46.601872	Net_001
   10	17.057665	10.381493	42.200969	 5.534659	19.945125	63.052165	Net_002
   20	54.745702	 2.253974	13.293524	 7.666129	17.848857	57.765240	Net_002
   30	86.022564	 0.456182	 3.351989	 8.239298	17.368222	57.285262	Net_002
   40	91.466691	 0.249393	 1.995684	10.155830	16.020246	54.302833	Net_002
   50	93.938037	 0.196569	 1.598327	 9.779688	16.121036	53.900130	Net_002
   60	90.231017	 0.363960	 2.667021	 9.654308	16.447747	53.770367	Net_002
   70	94.690186	 0.161237	 1.467947	 9.940892	16.181381	53.233678	Net_002
   80	92.800860	 0.233185	 1.821702	10.926025	15.493437	52.123539	Net_002
   90	90.150430	 0.342507	 2.532393	 9.958804	15.982916	52.632316	Net_002
  100	93.141117	 0.224053	 1.942542	10.120007	15.784310	53.080448	Net_002
  110	96.078080	 0.130786	 1.280263	11.535017	15.439136	52.380652	Net_002
  120	97.251074	 0.083665	 0.929327	10.926025	15.221738	51.542649	Net_002
  130	96.686963	 0.113035	 1.138146	11.552929	15.204876	51.156132	Net_002
  140	95.836318	 0.132362	 1.268578	11.714132	14.613230	50.034684	Net_002
  150	97.492837	 0.088519	 0.980618	12.161920	14.768461	49.921109	Net_002
